"GENDER","AGE_GROUP","BMI.mean","BMI.sd","SBP.mean","SBP.sd","TC.mean","TC.sd","SMOKING.mean","SMOKING.sd","HDL_C.mean","HDL_C.sd","DM.mean","DM.sd","WBC.mean","WBC.sd","TG.mean","TG.sd","GLUCOSE.mean","GLUCOSE.sd"
1,"[40,45)",23.8193825, 3.3591698,121.487318, 14.034540,4.8412033,0.9780052,0.57467471,0.39416415,1.37156828,0.49533349,0.013143431,0.119289978,6.8896974,2.4401172,2.0079627,1.8056023,5.4189759,1.4848183
2,"[40,45)",23.6503247, 3.2425878,117.248168, 14.592313,4.6044058,0.8436633,0.01538496,0.13008142,1.42214750,0.33290425,0.007763881,0.089711245,6.1688629,1.7046286,1.4871881,1.2639606,5.1849097,0.8724539
1,"[45,50)",24.0852124, 3.3624115,125.055246, 14.988911,5.0268770,1.0330898,0.60580067,0.37771823,1.38525862,0.86124303,0.033224477,0.183299468,6.6143089,1.7818403,2.1040719,1.7524270,5.5466376,1.7112516
2,"[45,50)",24.0767182, 3.3624812,120.165555, 15.985721,4.8671400,0.9219703,0.02645262,0.15882999,1.48005031,0.43671126,0.010741600,0.104918797,6.0946686,2.0229348,1.5403217,1.3818432,5.2936651,1.1915801
1,"[50,55)",23.3754151, 3.1041052,126.725590, 16.273201,4.9981188,1.0136896,0.59825305,0.38091155,1.41478598,0.44942794,0.037307697,0.181994170,6.5233539,1.6950964,1.8461273,1.6515175,5.5203624,1.5836717
2,"[50,55)",24.1447212, 3.3280125,125.095061, 17.509910,5.1770141,1.0334216,0.04525829,0.21077485,1.51978997,0.76355581,0.015548653,0.122461538,5.8745965,1.6720215,1.6876479,1.2609082,5.4215716,1.3147164
1,"[55,60)",23.5016728, 3.2328049,127.470409, 17.168115,4.8752238,0.9486890,0.57249722,0.38810581,1.41508624,0.42284640,0.045884380,0.206737315,6.4501691,1.6597917,1.8460199,1.9231709,5.6610632,1.7908907
2,"[55,60)",24.0780019, 3.3208726,128.550428, 20.541674,5.1975261,0.9972657,0.05367004,0.22766620,1.44476587,0.36693905,0.024415040,0.155581916,5.8346535,1.6004759,1.8958373,1.4147871,5.4745890,1.5064867
1,"[60,65)",23.2861304, 3.2842123,131.672110, 18.971285,4.8999110,0.9284642,0.54281028,0.40369327,1.46930112,0.55849424,0.056178969,0.229268638,6.4148464,2.6648147,1.6659683,1.4989124,5.7068043,1.9605524
2,"[60,65)",23.8899585, 3.5338729,132.140844, 19.891966,5.2529106,1.0739029,0.06728331,0.26108607,1.45173838,0.39670436,0.073719250,0.255074523,6.0085022,1.8241904,1.7937166,1.4008467,5.7776304,1.9107217
1,"[65,70)",23.3946703, 3.4773949,135.134028, 18.939321,4.8215311,0.8747899,0.57952518,0.38622782,1.43389558,0.39971556,0.076086908,0.266467413,6.2048039,1.7999874,1.4818167,1.0850197,5.6948374,1.6197011
2,"[65,70)",24.1455840, 3.9434581,135.333559, 19.956836,5.2422039,0.9819819,0.06323725,0.23987253,1.49862682,0.66388892,0.060817460,0.233751753,6.1550615,1.8760991,1.7893657,1.1369432,5.5929853,1.1405711
1,"[70,75)",23.0790705, 3.6912236,135.293768, 19.342241,4.7609808,0.8542588,0.54039713,0.40396124,1.37263533,0.36485474,0.052035654,0.230903393,6.4701612,1.7876899,1.4990822,0.9138608,5.8840487,2.2547227
2,"[70,75)",23.5450107, 3.8531901,138.036781, 19.731732,5.2772837,1.0432367,0.10929149,0.31041718,1.49646279,0.36253156,0.067959857,0.244916929,6.3855729,2.9465863,1.6999687,1.3013421,5.7573273,1.4410391
1,"[75,80)",22.5702362, 3.8100726,138.849099, 20.389289,4.8593013,0.9886628,0.48917259,0.41936291,1.40787051,0.38989099,0.049631401,0.199726424,6.3670128,1.6937376,1.4560813,0.9819963,5.6240797,1.0880368
2,"[75,80)",23.0448011, 4.1029889,142.428518, 22.330211,5.3107036,1.0286558,0.07026789,0.25274450,1.51241926,0.38479273,0.081544511,0.285736035,6.4332467,3.5018556,1.6200562,0.8421108,5.7697170,1.4565748
1,"[80,85)",21.8021748, 3.8447250,142.000721, 21.215272,4.6371627,0.7564882,0.39918563,0.44686057,1.54705543,0.62764786,0.024693884,0.157776500,6.6116305,2.0522065,1.2119560,0.8803746,5.4727754,1.2169032
2,"[80,85)",21.9513189, 3.7819539,145.108920, 25.590706,5.2195247,1.0070897,0.06968192,0.25495126,1.53647418,0.37215113,0.074622399,0.263593263,6.0544279,1.9746070,1.6098259,1.1354116,5.8275939,2.0214015
1,"[85,90)",21.7378785, 2.4220710,141.358795, 17.873053,4.9917381,0.8406061,0.26191950,0.43136689,1.61238027,0.35360286,0.000000000,0.000000000,5.6566631,1.3673797,1.2829443,0.7803137,5.4116475,1.1547893
2,"[85,90)",23.0506340, 3.7555906,141.331660, 24.682029,5.0715778,0.9974169,0.04105508,0.19020545,1.58519186,0.29261636,0.035855538,0.190544704,5.9365448,1.7468843,1.4566938,0.7035691,5.5234077,0.9769070
1,"[90,95)",20.3127795, 0.6981986,161.063409,  1.082083,5.3524740,0.1260214,0.46122040,0.46070641,1.43191726,0.08593132,0.000000000,0.000000000,6.9215793,0.4271985,2.0040239,0.6716638,8.4256905,3.1994193
2,"[90,95)",21.0102971, 2.1311074,136.154877, 24.053966,4.7680374,0.3918208,0.19266705,0.37179458,1.59646051,0.32265998,0.000000000,0.000000000,5.2278993,0.8381816,1.1695838,0.5430258,5.1774158,0.4028094
2,"[95,100)",17.3710505, 0.0000000,134.666667,  0.000000,5.5100000,0.0000000,0.00000000,0.00000000,1.65000000,0.00000000,0.000000000,0.000000000,4.3900000,0.0000000,1.5700000,0.0000000,7.7490000,0.0000000
