"","Outcome","mean.No_Policy","LL.No_Policy","UL.No_Policy","se.No_Policy","LL2.No_Policy","UL2.No_Policy","mean.Policy","LL.Policy","UL.Policy","se.Policy","LL2.Policy","UL2.Policy","mean.Diff1","LL.Diff1","UL.Diff1","se.Diff1","LL2.Diff1","UL2.Diff1"
"1","Subject_ID",3628.09226426834,3628.09226426834,3628.09226426834,26.267388803456,3576.60818221357,3679.57634632311,3628.09226426834,3628.09226426834,3628.09226426834,26.267388803456,3576.60818221357,3679.57634632311,0,0,0,0,0,0
"2","Incident DM",0.0966724513894752,0.0934023900522132,0.0999425127267373,0.0061226246093572,0.0846721071551351,0.108672795623815,0.0973672134585221,0.0940620323331661,0.100672394583878,0.00617258389377433,0.0852689490267244,0.10946547789032,0.000694762069046908,0.000659642280952939,0.000729881857140876,0.000545491360867096,-0.0003744009982526,0.00176392513634642
"3","Incident CHD",0.429994397697645,0.429449382486161,0.430539412909128,0.00625692806893434,0.417730818682533,0.442257976712756,0.446323067710849,0.445939167377879,0.446706968043819,0.00625299204501452,0.434067203302621,0.458578932119078,0.0163286700132048,0.0153997544687515,0.0172575855576581,0.00801968004080855,0.000610097133220036,0.0320472428931895
"4","Incident Stroke",0.437060555174594,0.434238815606271,0.439882294742918,0.0075040941668794,0.422352530607511,0.451768579741678,0.420560949254985,0.416932147264113,0.424189751245857,0.00821026931101866,0.404468821405388,0.436653077104581,-0.0164996059196095,-0.0173066683421582,-0.0156925434970608,0.00799510019016804,-0.0321700022923389,-0.000829209546880171
"5","Incident First CHD",0.429994397697645,0.429449382486161,0.430539412909128,0.00625692806893434,0.417730818682533,0.442257976712756,0.446323067710849,0.445939167377879,0.446706968043819,0.00625299204501452,0.434067203302621,0.458578932119078,0.0163286700132048,0.0153997544687515,0.0172575855576581,0.00801968004080855,0.000610097133220036,0.0320472428931895
"6","Incident First Stroke",0.437060555174594,0.434238815606271,0.439882294742918,0.0075040941668794,0.422352530607511,0.451768579741678,0.420560949254985,0.416932147264113,0.424189751245857,0.00821026931101866,0.404468821405388,0.436653077104581,-0.0164996059196095,-0.0173066683421582,-0.0156925434970608,0.00799510019016804,-0.0321700022923389,-0.000829209546880171
"7","Incident Recurrent CHD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Incident Recurrent Stroke",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Death",0.0173364134883824,0.0166931911486827,0.017979635828082,0.00170287157664168,0.0139987851981647,0.0206740417786,0.016769355238679,0.0160908377970082,0.0174478726803498,0.00170599808312913,0.0134255989957459,0.0201131114816121,-0.000567058249703338,-0.000602353351674561,-0.000531763147732115,0.000320812585476713,-0.0011958509172377,6.17344178310202e-05
"10","CHD_Death",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Stroke_Death",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","DM_Death",2.08441223508843e-05,1.04220611754421e-06,4.06460385842244e-05,4.1689648229599e-05,-6.08675881791297e-05,0.000102555832880898,2.08441223508843e-05,1.04220611754421e-06,4.06460385842244e-05,4.1689648229599e-05,-6.08675881791297e-05,0.000102555832880898,0,0,0,0,0,0
"13","Non_DM_Non_CVD_Death",0.0173155693660315,0.0166525451100985,0.0179785936219644,0.00171941653439503,0.0139455129586172,0.0206856257734457,0.0167485111163281,0.016050191758424,0.0174468304742323,0.00172341206452535,0.0133706234698584,0.0201263987627978,-0.000567058249703338,-0.000602353351674561,-0.000531763147732115,0.000320812585476713,-0.0011958509172377,6.17344178310202e-05
"14","Life Years",0.981386039705393,0.980821159863769,0.981950919547017,0.00165797769468561,0.978136403423809,0.984635675986977,0.981342807618332,0.980585659764738,0.982099955471925,0.00182285927429356,0.977770003440716,0.984915611795947,-4.32320870611625e-05,-0.000235500099030961,0.000149035924908636,0.000342656131817592,-0.000714838105423642,0.000628373931301318
"15","effect_disc",1.71615210735392,1.68483242297592,1.74747179173191,0.0466521643569814,1.62471386521423,1.8075903494936,1.71788468603503,1.6865301549915,1.74923921707856,0.0467038996240704,1.62634504277185,1.80942432929821,0.00173257868111422,0.00169773201558055,0.00176742534664789,0.000891579799391504,-1.49177256931314e-05,0.00348007508792156
"16","HCE_disc",6233.65999860654,6134.86120533635,6332.45879187674,151.219427806561,5937.26992010568,6530.0500771074,6305.61408746603,6212.38422369917,6398.84395123289,143.221811605345,6024.89933671956,6586.32883821251,71.9540888594873,66.3851593561535,77.5230183628211,35.6900299734193,2.00163011158547,141.906547607389
"17","Prod_cost",12042.2987447828,11275.9812249782,12808.6162645874,1143.85772759748,9800.33759869171,14284.2598908738,11851.223032352,11111.7070917133,12590.7389729907,1104.01672815466,9687.35024516888,14015.0958195352,-191.075712430753,-217.877291596683,-164.274133264823,100.280863227122,-387.626204355913,5.4747794944069
"18","Prod_cost_disc",12042.2987447828,11275.9812249782,12808.6162645874,1143.85772759748,9800.33759869171,14284.2598908738,11851.223032352,11111.7070917133,12590.7389729907,1104.01672815466,9687.35024516888,14015.0958195352,-191.075712430753,-217.877291596683,-164.274133264823,100.280863227122,-387.626204355913,5.4747794944069
"19","Policy_cost",0,0,0,0,0,0,73694.3332892008,46262.1403015177,101126.526276884,40839.7757525868,-6351.62718586931,153740.293764271,73694.3332892008,46262.1403015177,101126.526276884,40839.7757525868,-6351.62718586931,153740.293764271
"20","Total_cost_health",6233.65999860654,6134.86120533635,6332.45879187674,151.219427806561,5937.26992010568,6530.0500771074,79999.9473766668,52474.5245252169,107525.370228117,40978.6104457688,-318.129097040059,160318.023850374,73766.2873780602,46339.6633198805,101192.91143624,40831.5000460709,-6263.45271223866,153796.027468359
"21","Total_cost_societ",18275.9587433893,17608.4400168549,18943.4774699237,997.20540401269,16321.4361515244,20230.4813352542,91851.1704090188,65065.2634982076,118637.07731983,39877.7786044409,13690.7243443147,170011.616473723,73575.2116656295,46121.7860282838,101028.637302975,40871.4266053029,-6532.78448076424,153683.207812023
